,c,r
580,175519,1
581,175522,0
582,175525,0
583,175528,0
584,175531,0
585,175534,1
586,175537,0
587,175540,1
588,175543,0
589,175546,1
590,175549,0
591,175552,0
592,175555,1
593,175558,1
594,175561,0
595,175564,1
596,175567,0
597,175570,1
598,175573,0
599,175576,0
600,175579,0
601,175582,0
602,175585,1
603,175588,1
604,175591,1
605,175594,1
606,175597,1
607,175600,0
608,175603,1
609,175606,1
610,175609,1
611,175612,0
612,175615,0
613,175618,0
614,175621,1
615,175624,1
616,175627,1
617,175630,1
618,175633,0
619,175636,0
620,175639,0
621,175642,0
622,175645,0
623,175648,1
624,175651,1
625,175654,1
626,175657,1
627,175660,1
628,175663,0
629,175666,1
630,175669,0
631,175672,0
632,175675,1
633,175678,0
634,175681,1
635,175684,1
636,175687,0
637,175690,1
638,175693,1
639,175696,1
640,175699,1
641,175702,1
642,175705,1
643,175708,1
644,175711,1
645,175714,1
646,175717,1
647,175720,0
648,175723,0
649,175726,0
650,175729,0
651,175732,1
652,175735,0
653,175738,1
654,175741,0
655,175744,0
656,175747,0
657,175750,1
658,175753,1
659,175756,1
660,175759,1
661,175762,0
662,175765,0
663,175768,1
664,175771,0
665,175774,0
666,175777,0
667,175780,0
668,175783,1
669,175786,0
670,175789,0
671,175792,0
672,175795,0
673,175798,0
674,175801,1
675,175804,1
676,175807,0
677,175810,1
678,175813,1
679,175816,0
680,175819,1
681,175822,0
682,175825,1
683,175828,1
684,175831,0
685,175834,1
686,175837,0
687,175840,0
688,175843,1
689,175846,0
690,175859,0
691,175862,1
692,175865,1
693,175868,0
694,175871,0
695,175874,0
696,175877,0
697,175880,0
698,175883,1
699,175886,0
700,175889,0
701,175892,1
702,175895,0
703,175898,1
704,175901,0
705,175904,0
706,175907,0
707,175910,0
708,175913,0
709,175916,0
710,175919,0
711,175922,0
712,175925,1
713,175928,1
714,175931,0
715,175934,1
716,175937,1
717,175940,1
718,175943,0
719,175946,0
720,175949,1
721,175952,0
722,175955,1
723,175958,0
724,175961,1
725,175964,1
726,175967,0
727,175970,0
728,175973,0
729,175976,1
730,175979,0
731,175982,1
732,175985,0
733,175988,0
734,175991,0
735,175994,1
736,175997,0
737,176000,1
738,176003,0
739,176006,0
740,176009,1
741,176012,0
742,176015,0
743,176018,1
744,176021,0
745,176024,0
746,176027,0
747,176030,0
748,176033,0
749,176036,1
750,176039,1
751,176042,1
752,176045,0
753,176048,1
754,176051,0
755,176054,1
756,176057,1
757,176060,0
758,176063,0
759,176066,0
760,176069,0
761,176072,1
762,176075,0
763,176078,0
764,176081,0
765,176084,0
766,176087,1
767,176090,1
768,176093,1
769,176096,1
770,176099,0
771,176102,0
772,176105,1
773,176119,0
774,176122,1
775,176125,0
776,176128,0
777,176131,1
778,176134,0
779,176137,0
780,176140,1
781,176143,1
782,176146,1
783,176149,1
784,176152,0
785,176155,0
786,176158,0
787,176161,0
788,176164,1
789,176167,1
790,176170,1
791,176173,0
792,176176,0
793,176179,0
794,176182,1
795,176185,1
796,176188,1
797,176191,0
798,176194,1
799,176197,0
800,176200,0
801,176203,0
802,176206,1
803,176209,1
804,176212,0
805,176215,1
806,176218,1
807,176221,0
808,176224,1
809,176227,1
810,176230,0
811,176233,1
812,176236,0
813,176239,0
814,176242,1
815,176245,0
816,176248,1
817,176251,1
818,176254,1
819,176257,0
820,176260,1
821,176263,0
822,176266,1
823,176269,0
824,176272,1
825,176275,0
826,176278,1
827,176281,0
828,176284,0
829,176287,1
830,176290,0
831,176293,0
832,176296,1
833,176299,0
834,176302,0
835,176305,0
836,176308,1
837,176311,0
838,176314,1
839,176317,1
840,176320,0
841,176323,1
842,176326,1
843,176329,0
844,176332,1
845,176339,0
846,176342,1
847,176345,1
848,176359,1
849,176362,1
850,176365,0
851,176368,0
852,176371,0
853,176374,0
854,176377,0
855,176380,1
856,176383,0
857,176386,1
858,176389,1
859,176392,1
860,176395,0
861,176398,0
862,176401,1
863,176404,0
864,176407,0
865,176410,1
866,176413,1
867,176416,0
868,176419,1
869,176422,1
870,176425,1
871,176428,0
872,176431,1
873,176434,0
874,176437,0
875,176440,1
876,176443,0
877,176446,1
878,176449,0
879,176452,1
880,176455,1
881,176458,0
882,176461,1
883,176464,1
884,176467,0
885,176470,1
886,176473,1
887,176476,0
888,176479,1
889,176482,1
890,176485,0
891,176488,1
892,176491,0
893,176494,1
894,176497,0
895,176500,1
896,176503,0
897,176506,0
898,176509,0
899,176512,0
900,176515,1
901,176518,1
902,176521,0
903,176524,1
904,176527,1
905,176530,0
906,176533,0
907,176536,1
908,176539,0
909,176542,1
910,176545,1
911,176548,0
912,176551,1
913,176554,1
914,176557,0
915,176560,0
916,176563,0
917,176566,1
918,176569,0
919,176572,0
920,176575,1
921,176578,1
922,176581,1
923,176584,1
924,176587,1
925,176590,1
926,176593,1
927,176596,0
928,176599,0
929,176602,0
930,176605,0
931,176608,1
932,176611,1
933,176614,0
934,176617,0
935,176620,0
936,176623,0
937,176626,0
938,176629,1
939,176632,1
940,176635,0
941,176639,0
942,176642,0
943,176645,1
944,176648,0
945,176651,1
946,176654,0
947,176657,1
948,176660,1
949,176663,1
950,176666,1
951,176669,0
952,176672,1
953,176675,0
954,176678,0
955,176681,0
956,176684,0
957,176687,1
958,176690,1
959,176693,1
960,176696,1
961,176699,1
962,176702,1
963,176705,1
964,176708,1
965,176711,1
966,176714,1
967,176717,1
968,176720,0
969,176723,0
970,176726,1
971,176729,1
972,176732,0
973,176735,0
974,176738,1
975,176741,0
976,176744,0
977,176747,0
978,176750,1
979,176753,1
980,176756,0
981,176759,0
982,176762,0
983,176765,0
984,176768,0
985,176771,1
986,176774,1
987,176777,0
988,176780,1
989,176783,1
990,176786,0
991,176789,0
992,176792,1
993,176795,0
994,176798,0
995,176801,1
996,176804,0
997,176807,1
998,176810,1
999,176813,1
1000,176816,0
1001,176819,1
1002,176822,1
1003,176825,0
1004,176828,0
1005,176831,0
1006,176834,1
1007,176837,1
1008,176840,1
1009,176843,0
1010,176846,1
1011,176849,1
1012,176852,0
1013,176855,0
1014,176858,0
1015,176879,0
1016,176882,1
1017,176885,0
1018,176888,1
1019,176891,1
1020,176894,0
1021,176897,1
1022,176900,0
1023,176903,0
1024,176906,1
1025,176909,0
1026,176912,1
1027,176915,1
1028,176918,1
1029,176921,1
1030,176924,1
1031,176927,0
1032,176930,0
1033,176933,0
1034,176936,1
1035,176939,0
1036,176942,1
1037,176945,0
1038,176948,0
1039,176951,1
1040,176954,0
1041,176957,0
1042,176960,0
1043,176963,1
1044,176966,0
1045,176969,0
1046,176972,1
1047,176975,1
1048,176978,0
1049,176981,0
1050,176984,1
1051,176987,1
1052,176990,0
1053,176993,1
1054,176996,0
1055,176999,1
1056,177002,0
1057,177005,0
1058,177008,1
1059,177011,0
1060,177014,1
1061,177017,0
1062,177020,1
1063,177023,1
1064,177026,1
1065,177029,0
1066,177032,1
1067,177035,1
1068,177038,1
1069,177041,0
1070,177044,1
1071,177047,1
1072,177050,1
1073,177053,1
1074,177056,1
1075,177059,0
1076,177062,0
1077,177065,1
1078,177068,1
1079,177071,1
1080,177074,1
1081,177077,0
1082,177080,0
1083,177083,1
1084,177086,1
1085,177089,0
1086,177092,0
1087,177095,0
1088,177098,0
1089,177119,0
1090,177122,1
1091,177125,0
1092,177128,0
1093,177131,1
1094,177134,1
1095,177137,1
1096,177140,1
1097,177143,1
1098,177146,1
1099,177149,0
1100,177152,0
1101,177155,0
1102,177158,0
1103,177161,1
1104,177164,1
1105,177167,0
1106,177170,1
1107,177173,0
1108,177176,1
1109,177179,0
1110,177182,0
1111,177185,1
1112,177188,0
1113,177191,0
1114,177194,0
1115,177197,0
1116,177200,0
1117,177203,0
1118,177206,1
1119,177209,1
1120,177212,1
1121,177215,0
1122,177218,1
1123,177221,1
1124,177224,0
1125,177227,1
1126,177230,1
1127,177233,1
1128,177236,1
1129,177239,0
1130,177242,0
1131,177245,1
1132,177248,1
1133,177251,1
1134,177254,1
1135,177257,1
1136,177260,0
1137,177263,1
1138,177266,1
1139,177269,0
1140,177272,0
1141,177275,0
1142,177278,0
1143,177281,0
1144,177284,0
1145,177287,0
1146,177290,0
1147,177293,1
1148,177296,0
1149,177299,0
1150,177302,0
1151,177305,1
1152,177308,1
1153,177311,1
1154,177314,0
1155,177317,1
1156,177320,0
1157,177323,1
1158,177326,0
1159,177329,0
1160,177332,0
1161,177335,1
1162,177338,0
1163,177341,1
1164,177344,1
1165,177347,0
1166,177350,1
1167,177353,1
1168,177356,0
1169,177359,1
1170,177362,1
1171,177365,0
1172,177368,1
1173,177371,0
1174,177374,1
1175,177377,1
1176,177380,1
1177,177399,1
1178,177402,1
1179,177405,0
1180,177408,1
1181,177411,0
1182,177414,0
1183,177417,1
1184,177420,1
1185,177423,1
1186,177426,1
1187,177429,1
1188,177432,0
1189,177435,1
1190,177438,1
1191,177441,1
1192,177444,1
1193,177447,1
1194,177450,1
1195,177453,0
1196,177456,1
1197,177459,1
1198,177462,1
1199,177465,1
1200,177468,0
1201,177471,0
1202,177474,1
1203,177477,0
1204,177480,0
1205,177483,0
1206,177486,1
1207,177489,1
1208,177492,0
1209,177495,0
1210,177498,1
1211,177501,0
1212,177504,0
1213,177507,1
1214,177510,0
1215,177513,0
1216,177516,0
1217,177519,1
1218,177522,0
1219,177525,1
1220,177528,1
1221,177531,0
1222,177534,0
1223,177537,0
1224,177540,0
1225,177543,1
1226,177546,0
1227,177549,0
1228,177552,1
1229,177555,0
1230,177558,1
1231,177561,0
1232,177564,0
1233,177567,1
1234,177570,1
1235,177573,1
1236,177576,0
1237,177579,1
1238,177582,0
1239,177585,0
1240,177588,0
1241,177591,1
1242,177594,0
1243,177597,1
1244,177600,1
1245,177603,0
1246,177606,1
1247,177609,1
1248,177612,0
1249,177615,0
1250,177618,0
1251,177621,0
1252,177624,0
1253,177627,0
1254,177630,0
1255,177633,1
1256,177636,1
1257,177639,1
1258,177642,1
1259,177645,1
1260,177648,1
1261,177651,1
1262,177654,0
1263,177657,1
1264,177660,1
1265,177663,1
1266,177666,1
1267,177669,1
1268,177672,0
1269,177675,0
1270,177678,0
1271,177681,0
1272,177684,1
1273,177687,1
1274,177690,0
1275,177699,0
1276,177702,0
1277,177705,1
1278,177708,1
1279,177711,0
1280,177719,1
1281,177722,0
1282,177725,1
1283,177728,1
1284,177731,0
1285,177734,1
1286,177737,1
1287,177740,1
1288,177743,1
1289,177746,0
1290,177749,1
1291,177752,0
1292,177755,1
1293,177758,1
1294,177761,1
1295,177764,1
1296,177767,0
1297,177770,0
1298,177773,1
1299,177776,1
1300,177779,1
1301,177782,1
1302,177785,1
1303,177788,0
1304,177791,0
1305,177794,0
1306,177797,0
1307,177800,0
1308,177803,1
1309,177806,1
1310,177809,0
1311,177812,0
1312,177815,1
1313,177818,0
1314,177821,1
1315,177824,1
1316,177827,0
1317,177830,0
1318,177833,1
1319,177836,0
1320,177839,1
1321,177842,1
1322,177845,1
1323,177848,1
1324,177851,0
1325,177854,0
1326,177857,1
1327,177860,1
1328,177863,1
1329,177866,0
1330,177869,1
1331,177872,1
1332,177875,0
1333,177878,0
1334,177881,0
1335,177884,1
1336,177887,1
1337,177890,0
1338,177893,1
1339,177896,0
1340,177899,1
1341,177902,1
1342,177905,0
1343,177908,0
1344,177911,1
1345,177914,1
1346,177917,1
1347,177920,0
1348,177923,1
1349,177926,0
1350,177929,0
1351,177932,1
1352,177935,0
1353,177938,0
1354,177941,0
1355,177944,1
1356,177947,0
1357,177950,1
1358,177953,1
1359,177956,0
1360,177959,0
1361,177962,0
1362,177965,1
1363,177968,0
1364,177971,1
1365,177974,1
1366,177977,0
1367,177980,0
1368,177983,0
1369,177986,1
1370,177989,0
1371,177992,1
1372,177995,1
1373,177998,1
1374,178001,0
1375,178004,1
1376,178007,1
1377,178010,1
1378,178013,0
1379,178016,0
1380,178019,1
1381,178022,1
1382,178025,1
1383,178028,1
1384,178031,1
1385,178034,0
1386,178037,1
1387,178059,0
1388,178062,1
1389,178065,1
1390,178068,1
1391,178071,1
1392,178074,0
1393,178077,0
1394,178080,1
1395,178083,0
1396,178086,0
1397,178089,0
1398,178092,0
1399,178095,0
1400,178098,0
1401,178101,1
1402,178104,0
1403,178107,0
1404,178110,1
1405,178113,1
1406,178116,1
1407,178119,0
1408,178122,1
1409,178125,1
1410,178128,1
1411,178131,1
1412,178134,0
1413,178137,0
1414,178140,0
1415,178143,0
1416,178146,0
1417,178149,0
1418,178152,1
1419,178155,1
1420,178158,0
1421,178161,0
1422,178164,0
1423,178167,0
1424,178170,1
1425,178173,1
1426,178176,0
1427,178179,1
1428,178182,1
1429,178185,0
1430,178188,0
1431,178191,1
1432,178194,1
1433,178197,1
1434,178200,1
1435,178203,1
1436,178206,1
1437,178209,0
1438,178212,1
1439,178215,0
1440,178218,1
1441,178221,0
1442,178224,0
1443,178227,1
1444,178230,0
1445,178233,1
1446,178236,0
1447,178239,0
1448,178242,1
1449,178245,0
1450,178248,0
1451,178251,1
1452,178254,1
1453,178257,1
1454,178260,0
1455,178263,1
1456,178266,1
1457,178269,1
1458,178272,1
1459,178275,0
1460,178278,0
1461,178281,0
1462,178284,0
1463,178287,0
1464,178290,1
1465,178293,1
1466,178296,1
1467,178299,1
1468,178302,0
1469,178305,1
1470,178308,1
1471,178311,0
1472,178314,0
1473,178317,1
1474,178320,1
1475,178323,0
1476,178326,1
1477,178329,0
1478,178332,0
1479,178335,0
1480,178338,1
1481,178341,0
1482,178344,0
1483,178347,1
1484,178350,0
1485,178353,0
1486,178356,1
1487,178359,0
1488,178362,1
1489,178365,0
1490,178368,1
1491,178371,0
1492,178374,0
1493,178377,1
1494,178380,0
1495,178383,1
1496,178386,1
1497,178389,0
1498,178392,0
1499,178395,1
1500,178398,1
1501,178401,0
1502,178404,1
1503,178407,1
1504,178410,0
1505,178413,0
1506,178416,0
1507,178419,1
1508,178422,1
1509,178425,1
1510,178428,1
1511,178431,1
1512,178434,1
1513,178437,0
1514,178459,0
1515,178462,1
1516,178465,1
1517,178468,1
1518,178471,0
1519,178474,1
1520,178479,0
1521,178482,0
1522,178485,0
1523,178488,0
1524,178491,0
1525,178494,0
1526,178497,0
1527,178500,0
1528,178503,0
1529,178506,0
1530,178509,0
1531,178512,0
1532,178515,1
1533,178518,0
1534,178521,1
1535,178524,1
1536,178527,1
1537,178530,0
1538,178533,1
1539,178536,1
1540,178539,1
1541,178542,0
1542,178545,0
1543,178548,1
1544,178551,1
1545,178554,1
1546,178557,0
1547,178560,1
1548,178563,1
1549,178566,1
1550,178569,0
1551,178572,0
1552,178575,0
1553,178578,1
1554,178581,0
1555,178584,0
1556,178587,1
1557,178590,1
1558,178593,0
1559,178596,0
1560,178599,0
1561,178602,0
1562,178605,1
1563,178608,0
1564,178611,1
1565,178614,1
1566,178617,1
1567,178620,0
1568,178623,1
1569,178626,1
1570,178629,0
1571,178632,0
1572,178635,1
1573,178638,0
1574,178641,0
1575,178644,0
1576,178647,1
1577,178650,0
1578,178653,1
1579,178656,1
1580,178659,0
1581,178662,1
1582,178665,0
1583,178668,0
1584,178671,1
1585,178674,1
1586,178677,0
1587,178680,0
1588,178683,1
1589,178686,1
1590,178689,1
1591,178692,1
1592,178695,0
1593,178698,0
1594,178701,1
1595,178704,1
1596,178707,0
1597,178710,0
1598,178713,0
1599,178716,0
1600,178719,0
1601,178722,1
1602,178739,1
1603,178742,1
1604,178745,0
1605,178748,1
1606,178759,1
1607,178762,1
1608,178765,1
1609,178768,0
1610,178771,1
1611,178774,0
1612,178777,0
1613,178780,0
1614,178783,1
1615,178786,1
1616,178789,0
1617,178792,1
1618,178795,1
1619,178798,0
1620,178801,1
1621,178804,0
1622,178807,1
1623,178810,0
1624,178813,1
1625,178816,1
1626,178819,1
1627,178822,1
1628,178825,1
1629,178828,0
1630,178831,0
1631,178834,0
1632,178837,1
1633,178840,1
1634,178843,0
1635,178846,0
1636,178849,0
1637,178852,1
1638,178855,0
1639,178858,1
1640,178861,0
1641,178864,0
1642,178867,1
1643,178870,1
1644,178873,1
1645,178876,1
1646,178879,1
1647,178882,1
1648,178885,0
1649,178888,1
1650,178891,0
1651,178894,1
1652,178897,1
1653,178900,1
1654,178903,0
1655,178906,1
1656,178909,1
1657,178912,0
1658,178915,1
1659,178918,0
1660,178921,1
1661,178924,1
1662,178927,1
1663,178930,0
1664,178933,0
1665,178936,0
1666,178939,0
1667,178942,1
1668,178945,1
1669,178948,1
1670,178951,0
1671,178954,1
1672,178957,1
1673,178960,1
1674,178963,1
1675,178966,0
1676,178969,1
1677,178979,1
1678,178982,1
1679,178985,1
1680,178999,0
1681,179002,0
1682,179005,0
1683,179008,1
1684,179011,0
1685,179014,1
1686,179017,1
1687,179020,0
1688,179023,0
1689,179026,0
1690,179029,0
1691,179032,0
1692,179035,1
1693,179038,1
1694,179041,1
1695,179044,0
1696,179047,0
1697,179050,1
1698,179053,1
1699,179056,1
1700,179059,1
1701,179062,1
1702,179065,0
1703,179068,0
1704,179071,1
1705,179074,1
1706,179077,1
1707,179080,0
1708,179083,1
1709,179086,0
1710,179089,0
1711,179092,1
1712,179095,0
1713,179098,1
1714,179101,0
1715,179104,0
1716,179107,1
1717,179110,0
1718,179113,1
1719,179116,1
1720,179119,1
1721,179122,1
1722,179125,0
1723,179128,0
1724,179131,1
1725,179134,1
1726,179137,1
1727,179140,0
1728,179143,0
1729,179146,1
1730,179149,1
1731,179152,1
1732,179155,0
1733,179158,0
1734,179161,0
1735,179164,0
1736,179167,0
1737,179170,1
1738,179173,1
1739,179176,0
1740,179179,0
1741,179182,0
1742,179185,0
1743,179188,1
1744,179191,0
1745,179194,0
1746,179197,1
1747,179200,0
1748,179203,0
1749,179206,1
1750,179209,0
1751,179212,1
1752,179215,1
1753,179218,1
1754,179221,0
1755,179224,1
1756,179227,1
1757,179230,1
1758,179233,0
1759,179236,1
1760,179239,1
1761,179242,1
1762,179245,1
1763,179248,0
1764,179251,1
1765,179254,0
1766,179257,0
1767,179260,0
1768,179263,0
1769,179266,0
1770,179269,0
1771,179272,1
1772,179275,0
1773,179278,1
1774,179281,0
1775,179284,0
1776,179287,0
1777,179290,0
1778,179293,0
1779,179296,0
1780,179299,1
1781,179302,1
1782,179305,1
1783,179308,1
1784,179311,0
1785,179314,1
1786,179317,0
1787,179320,0
1788,179323,1
1789,179326,1
1790,179329,1
1791,179332,1
1792,179339,0
1793,179342,0
1794,179345,1
1795,179348,1
1796,179351,1
1797,179354,0
1798,179357,1
1799,179360,0
1800,179363,1
1801,179366,1
1802,179369,0
1803,179372,0
1804,179375,1
1805,179378,0
1806,179381,0
1807,179384,0
1808,179387,1
1809,179390,1
1810,179393,1
1811,179396,0
1812,179399,0
1813,179402,1
1814,179405,0
1815,179408,0
1816,179411,0
1817,179414,1
1818,179417,0
1819,179420,0
1820,179423,0
1821,179426,1
1822,179429,1
1823,179432,0
1824,179435,1
1825,179438,1
1826,179441,1
1827,179444,1
1828,179447,1
1829,179450,1
1830,179453,0
1831,179456,1
1832,179459,0
1833,179462,0
1834,179465,1
1835,179468,0
1836,179471,0
1837,179474,0
1838,179477,0
1839,179480,1
1840,179483,0
1841,179486,0
1842,179489,0
1843,179492,1
1844,179495,1
1845,179498,1
1846,179501,1
1847,179504,0
1848,179507,0
1849,179510,0
1850,179513,0
1851,179516,0
1852,179519,0
1853,179522,1
1854,179525,0
1855,179528,1
1856,179531,0
1857,179534,0
1858,179537,0
1859,179540,0
1860,179543,1
1861,179546,0
1862,179549,1
1863,179552,0
1864,179555,0
1865,179558,1
1866,179561,0
1867,179564,1
1868,179567,1
1869,179570,0
1870,179573,1
1871,179576,0
1872,179579,1
